Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
93	-85.18442	181.72723	1827.2412	-3276.6807	1432.9568	68.23265	1584.9004	1275.1671	37.470726	1000.0	371999	17.792076	107.76071	1642.7703	-431.10422	-20.55409	135.7363	4425.089509010315
94	-129.9708	911.0456	1493.1526	-17672.514	1436.541	70.925804	1589.8771	1275.0	42.142857	1000.0	375999	20.580956	100.96182	1563.9803	-414.85147	-23.585032	136.05243	4476.684840917587
95	-72.897194	37.267868	-18.575283	-282.1618	1409.1672	60.904736	1501.4198	1275.0023	41.109974	1000.0	379999	20.43638	97.27215	1471.1735	-376.02258	-23.042828	121.11145	4527.551880836487
96	-73.210205	46.329395	-14.709304	-793.831	1411.0186	65.89365	1523.5623	1275.0002	39.49136	1000.0	383999	14.055312	94.64198	1377.5682	-339.39096	-16.308277	109.28077	4579.062644481659
97	-71.058655	37.827705	-1.3097961	-416.66235	1425.7037	76.468346	1645.8328	1275.0114	37.729412	1000.0	387999	13.114194	91.52937	1262.596	-288.65427	-15.601767	113.94075	4629.604099750519
98	-107.349205	471.86832	-26.681238	-8522.738	1427.6848	59.299675	1504.4685	1275.0303	38.836983	1000.0	391999	14.33746	92.17136	1320.0928	-287.86557	-16.758196	109.15468	4680.473928928375
99	-86.41547	302.49054	24.50298	-6618.344	1424.7024	88.25105	1625.509	1275.0353	33.480083	1000.0	395999	12.507157	94.29305	1191.3378	-291.19223	-14.812217	110.40811	4731.2567818164825
100	-82.81278	99.88411	-16.576384	-2158.313	1416.4291	82.607796	1576.1687	1275.0001	31.349705	1000.0	399999	12.827623	99.90675	1269.8705	-290.7968	-15.2793045	117.92851	4782.400547742844
101	-130.23796	835.3558	1641.6489	-15656.073	1422.8474	69.665474	1588.6621	1275.9236	43.703804	1000.0	403999	14.460465	104.50413	1226.276	-184.2793	-16.881462	119.074356	4833.483071804047
102	-79.53711	33.8359	-10.5049	-295.5451	1411.6394	75.137764	1580.4039	1277.9525	37.373833	1000.0	407999	15.644112	106.57249	1350.7769	-185.00375	-18.200747	135.4527	4884.037763834
103	-79.83933	180.77525	-26.10834	-3878.9546	1432.9462	83.055	1600.8431	1279.9833	35.0131	1000.0	411999	21.516743	109.843575	1395.3376	-181.62155	-24.704184	137.14291	4935.346272945404
104	-93.26592	358.98056	-21.235094	-5215.263	1433.3782	76.60779	1612.7708	1375.0	40.298733	1000.0	415999	27.907907	112.13737	1361.5594	-211.22005	-30.975716	155.20357	4986.075172662735
105	-64.061035	93.22271	1639.3907	-261.0022	1426.4856	94.0282	1603.8652	1275.0	40.640507	1000.0	419999	31.442604	113.45334	1428.7039	-272.6578	-34.71114	163.52354	5037.135271072388
106	-77.71456	31.289766	-33.162716	-321.2485	1411.5918	76.03075	1598.1211	1275.0004	39.8675	1000.0	423999	31.5988	115.65289	1438.572	-200.17885	-34.720226	146.40431	5087.968710899353
107	-56.260284	83.12653	1567.7723	-171.7109	1420.5195	80.21998	1612.3948	1275.7336	39.026764	1000.0	427999	28.35819	116.683105	1474.855	-283.07785	-31.152325	135.27762	5138.937848567963
108	-56.707554	24.801428	-20.082037	-350.0403	1415.4297	77.044525	1596.2252	1275.0	33.682106	1000.0	431999	26.463547	115.81864	1389.0205	-183.05664	-29.170559	127.81744	5189.815744876862
109	-73.64707	423.4018	-6.728651	-8828.994	1422.2556	81.76084	1601.673	1275.0	37.225582	1000.0	435999	25.630566	116.192604	1328.2583	-187.1805	-28.36218	137.62831	5240.665269851685
110	-60.671707	159.45367	-16.970682	-3366.0022	1406.9285	61.38815	1575.8055	1275.0028	35.948315	1000.0	439999	27.266855	116.919785	1307.6229	-197.362	-30.188562	140.11674	5291.852389097214
111	-60.211494	31.85841	40.980564	-230.58969	1435.551	60.364204	1518.8431	1275.0166	36.708046	1000.0	443999	29.942978	117.963615	1373.0684	-204.08104	-33.072006	159.12791	5343.031041383743
112	-66.42606	127.77094	1100.9553	-2306.3994	1420.1028	68.98093	1575.8602	1289.588	38.856796	1000.0	447999	28.78431	116.0904	1356.1791	-193.41548	-31.75882	151.67198	5393.951320171356
113	-72.162796	109.35196	2095.8535	-279.9568	1435.6041	56.868416	1582.9679	1375.1447	36.83678	1000.0	451999	24.02433	117.794655	1467.8596	-180.20638	-26.677969	150.5591	5444.862751960754
114	-81.48426	212.5097	-19.875772	-3581.8035	1421.3857	75.196884	1601.1693	1275.0	36.02709	1000.0	455999	22.38494	119.430855	1385.1221	-184.61847	-24.899885	142.42625	5495.765397071838
115	-68.68213	141.09006	-21.087334	-3017.6814	1434.1136	87.640015	1663.1493	1275.0004	34.766235	1000.0	459999	20.12382	114.57002	1340.178	-178.75745	-22.510885	136.29324	5546.734438896179
116	-73.999054	254.15546	-18.708313	-4487.9033	1416.8347	66.71852	1590.7394	1275.0	37.15116	1000.0	463999	21.38542	112.14823	1326.8975	-245.8938	-23.929625	147.88725	5597.783178091049
117	-65.55611	114.29415	2302.5657	-215.90915	1417.8967	80.97898	1577.0579	1275.0	34.06624	1000.0	467999	20.606012	111.29067	1512.5228	-181.4699	-23.010393	133.75125	5648.509837388992
118	-84.95618	186.56839	548.0963	-3925.9153	1417.894	72.75139	1623.039	1275.0	33.5125	1000.0	471999	16.862934	109.83375	1293.6982	-232.66045	-19.011488	123.04997	5699.368871212006
119	-70.41277	198.46292	-10.9117	-4157.9316	1429.9774	83.033134	1630.0361	1218.5673	37.011574	1000.0	475999	14.184271	108.41449	1292.2283	-239.94705	-16.26314	111.99287	5750.453202724457
120	-65.52156	30.426716	22.400692	-291.14856	1424.1288	83.409775	1599.9628	1275.0486	37.018604	1000.0	479999	13.276515	108.1804	1319.701	-166.77988	-15.434959	114.065796	5801.263224363327
121	-81.846146	96.161446	-26.846977	-2078.4614	1399.1084	72.42654	1575.0	1275.047	34.20682	1000.0	483999	12.220062	108.226166	1522.0981	-169.69113	-14.420567	117.21558	5852.197484970093
122	-81.41095	93.14933	1803.551	-216.08417	1430.1033	77.62266	1590.317	1275.0009	34.65801	1000.0	487999	12.906164	111.98063	1389.7655	-212.62164	-15.104363	126.386375	5903.200195550919
123	-87.064865	216.98315	-26.465218	-3403.2397	1421.39	66.655785	1584.9598	1282.4904	36.797703	1000.0	491999	11.112838	111.422905	1354.58	-186.66512	-13.064951	121.71876	5953.671103000641
124	-72.35913	35.22241	348.1834	-202.4128	1412.3672	69.12075	1575.0001	1275.0	33.169773	1000.0	495999	11.819175	110.76471	1344.5398	-179.808	-13.953108	120.96871	6004.933445930481
125	-66.16465	34.42847	493.9332	-221.23392	1426.4226	79.67993	1599.2349	1275.0006	31.755466	1000.0	499999	13.093363	109.10466	1471.763	-169.15565	-15.155576	121.15292	6056.4393174648285
126	-63.13386	20.625706	101.69538	-191.6414	1427.367	63.324383	1587.9653	1308.6637	30.22159	1000.0	503999	12.498627	106.46758	1312.354	-181.9044	-14.521425	117.26205	6106.98942399025
127	-70.085045	91.91058	975.1817	-1723.7872	1427.8215	77.54156	1601.0311	1275.0153	33.267635	1000.0	507999	12.636019	106.46473	1316.9572	-168.33684	-14.720481	114.405	6157.996634483337
128	-67.497536	28.060522	-23.409061	-235.00595	1422.679	77.01648	1633.0748	1275.1318	32.42105	1000.0	511999	11.615761	105.02286	1334.975	-177.86945	-13.539268	116.07352	6209.189077377319
129	-72.237114	58.42758	-20.741114	-1188.0247	1410.6641	92.451584	1600.9742	1183.2524	34.686146	1000.0	515999	10.313915	104.7732	1316.7651	-160.84656	-12.206831	114.742256	6260.1534123420715
130	-60.623795	127.03194	2724.4517	-188.12274	1400.7926	75.24559	1595.9288	1275.0391	31.905811	1000.0	519999	9.866795	109.11178	1449.487	-154.2013	-11.690538	114.080864	6311.318946361542
131	-68.285095	23.558384	-28.563427	-259.16074	1402.0876	77.39561	1598.6581	1275.0	30.967182	1000.0	523999	9.392141	108.864265	1353.7776	-165.79987	-11.252947	122.85423	6362.360529184341
132	-68.112595	220.24173	-20.500122	-4682.269	1414.1066	74.682434	1579.5664	1278.5387	35.99326	1000.0	527999	11.804583	110.972145	1380.2401	-155.1919	-14.036223	130.28835	6412.871356248856
