Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
71	-28.329165	33.782616	24.622528	-446.61343	-15.527905	23.913298	25.374851	-75.52791	54.993126	59.175	283999	8.288462	12.886843	49.340992	-875.3537	-9.777689	20.31347	1499.668617963791
72	-28.585072	45.95787	228.54149	-481.5559	-22.178434	21.022669	12.89771	-77.945595	54.35495	59.575	287999	8.4957285	13.048247	47.920433	-893.376	-10.015021	23.63718	1521.1502904891968
73	-27.569021	32.579384	91.181786	-385.58905	-27.416754	23.796793	28.166313	-79.121735	52.12987	55.55	291999	8.727625	12.716734	45.707207	-764.92584	-10.216455	22.330847	1542.7518599033356
74	-22.605648	39.026073	500.18405	-98.84187	-20.212831	25.058382	20.050547	-113.29079	52.57237	50.675	295999	8.639879	12.540312	45.544502	-867.58154	-10.118595	21.729216	1563.9693274497986
75	-25.524189	25.487944	20.695057	-291.51746	-34.743984	64.95952	10.556871	-427.79202	50.680378	46.275	299999	8.911348	12.3470955	47.52147	-698.87286	-10.372926	21.903664	1585.03555226326
76	-28.831688	46.50061	26.7368	-726.27954	-28.15564	19.578785	13.623084	-91.879814	49.990654	53.9	303999	8.813186	12.17483	46.857563	-506.8382	-10.247121	19.669413	1606.7255437374115
77	-29.357018	45.766636	20.452208	-691.52313	-34.732178	68.88777	20.808289	-443.24814	52.76821	56.225	307999	8.623963	12.253337	45.904797	-949.2187	-10.071231	22.097095	1628.2932279109955
78	-36.116432	69.60641	28.629084	-822.5282	-24.490257	19.07769	6.895749	-83.66687	51.48553	57.525	311999	8.712522	12.187156	47.168118	-701.6191	-10.159289	21.665657	1649.8029336929321
79	-26.325573	28.270254	28.690044	-316.6208	-14.81295	21.85985	26.120787	-87.01748	52.094463	50.975	315999	8.762532	12.312872	47.227932	-922.7708	-10.190713	20.839006	1671.1262774467468
80	-26.299976	46.965702	32.88874	-713.91614	-24.893692	48.65961	19.169903	-288.044	52.57049	54.15	319999	8.792774	12.251873	46.210857	-666.14825	-10.230437	20.83718	1692.6540048122406
81	-28.819187	41.146915	24.664507	-521.6979	-34.151714	29.143911	29.867704	-96.695274	50.8127	56.375	323999	8.719443	12.178526	49.144253	-777.63934	-10.145707	21.42605	1713.734971523285
82	-29.697412	42.984135	23.89336	-479.84564	-18.500423	23.296656	23.474703	-86.18048	51.980457	52.75	327999	8.523772	12.176354	49.12237	-779.9698	-9.947284	21.962912	1735.3722505569458
